Player,Points,Has pass yards,Has pass TDs,Has Rush Yards,Has Rush TD
Josh Allen,412.07,TRUE,TRUE,TRUE,TRUE
Lamar Jackson,369.07,TRUE,TRUE,TRUE,TRUE
Jalen Hurts,359.57,TRUE,TRUE,TRUE,TRUE
Patrick Mahomes,356.57,TRUE,TRUE,TRUE,
Kyler Murray,355.57,TRUE,TRUE,TRUE,TRUE
Justin Herbert,334.02,TRUE,TRUE,,
Tom Brady,328.02,TRUE,TRUE,,
Matthew Stafford,318.02,TRUE,TRUE,,
Joe Burrow,316.02,TRUE,TRUE,,
Trey Lance,309.07,TRUE,TRUE,TRUE,TRUE
Dak Prescott,300.02,TRUE,TRUE,,
Derek Carr,300.02,TRUE,TRUE,,
Kirk Cousins,294.02,TRUE,TRUE,,
Russell Wilson,290.02,TRUE,TRUE,,
Aaron Rodgers,288.02,TRUE,TRUE,,
Justin Fields,281.57,TRUE,TRUE,TRUE,TRUE
Daniel Jones,267.07,TRUE,TRUE,TRUE,
Tua Tagovailoa,260.02,TRUE,TRUE,,
Matt Ryan,258.02,TRUE,TRUE,,
Jameis Winston,256.02,TRUE,TRUE,,
Mac Jones,252.02,TRUE,TRUE,,
Trevor Lawrence,250.02,TRUE,TRUE,,
Jared Goff,248.02,TRUE,TRUE,,
Baker Mayfield,242.02,TRUE,TRUE,,
Zach Wilson,240.02,TRUE,TRUE,,
Carson Wentz,236.02,TRUE,TRUE,,
Davis Mills,234.02,TRUE,TRUE,,
Ryan Tannehill,230.02,TRUE,TRUE,,
